timestamp,strategy_id,pair,signal_direction,entry_price,sl_price,tp1_price,tp2_price,tp3_price,lot_size,confluence_score,session,spread_at_entry,atr_at_entry,adx_at_entry,rsi_at_entry,ema_50_value,ema_200_value,vwap_deviation,news_within_60min,macd_hist_at_entry,stoch_k_at_entry,distance_from_ema50_pips,candle_body_ratio,hour_of_day,day_of_week,entry_pattern,exit_price,exit_reason,exit_time,pnl_pips,pnl_dollars,hold_time_minutes,win
2023-01-03 15:00:00+00:00,3,EUR_USD,SHORT,1.0553499999999998,1.05835616512255,1.0518115046323502,1.0493258410539172,1.0455973456862675,330373.76,4,OVERLAP,1.5,0.002485663578433114,42.09066224324778,32.74058304021628,1.0635223236436435,1.0638701476081927,-0.6443049411597457,False,-0.0006077089884982041,65.6300961879555,-79.82323643643596,0.6861313868613605,15,1,key_level_break,1.05835616512255,SL,2023-01-04 07:00:00+00:00,-30.061651225501414,-993.1580747177511,960,False
2023-01-09 13:00:00+00:00,3,EUR_USD,LONG,1.07268,1.0684550202630418,1.075594939210874,1.0776648986847899,1.0807698378956638,232717.44,4,OVERLAP,1.5,0.0020699594739159635,65.9645526777128,74.01134752976007,1.062148725121707,1.061292619656428,36.76429231247224,False,3.20473059312763e-05,74.81336322817126,103.4127487829295,0.7789699570815688,13,0,key_level_break,1.07268,TP1+SL,2023-01-10 00:00:00+00:00,11.659756843495295,271.3428763640706,660,True
2023-01-31 13:00:00+00:00,3,EUR_USD,LONG,1.0852700000000002,1.082672081451751,1.0876108985018906,1.0892981641698176,1.0918290626717082,379511.48,5,OVERLAP,1.5,0.0016872656679270172,41.89316011122809,51.17469219447694,1.0857329041153374,1.0856648969882672,20.993968597449175,False,7.429522645430804e-05,68.98919618711784,-6.529041153373605,0.66846361185983,13,1,key_level_break,1.0918290626717082,TP3,2023-02-01 15:00:00+00:00,38.594376030247616,1464.7008766915799,1560,True
2023-02-10 15:00:00+00:00,3,EUR_USD,SHORT,1.0674799999999998,1.0692970846403997,1.0650087460788,1.063234576798,1.0605733228768,550655.1,5,OVERLAP,1.5,0.0017741692807999854,36.625862806381875,32.24980561799501,1.0728636181559774,1.0782072378054188,-27.061081607999693,False,-0.00045663450690717144,27.894713742926232,-51.93618155977519,0.6428571428571478,15,4,key_level_break,1.0692970846403997,SL,2023-02-13 12:00:00+00:00,-18.170846403999793,-1000.5869243679148,4140,False
2023-02-14 15:00:00+00:00,3,EUR_USD,SHORT,1.07137,1.0770478901239837,1.0678283296280497,1.065340549380083,1.0616088790081328,174462.88,5,OVERLAP,1.5,0.002487780247966827,62.960056968903444,42.17638706589086,1.0723166623886589,1.0754830887553424,-31.94213963954251,False,-0.0002384378908578907,34.7296848796903,-7.566623886587909,0.5628834355827905,15,1,key_level_break,1.07137,TP1+SL,2023-02-16 02:00:00+00:00,14.166681487800757,247.15600524044052,2100,True
2023-02-16 14:00:00+00:00,3,EUR_USD,SHORT,1.06608,1.0677105919884193,1.0637132240347427,1.062008706724571,1.0594519307593135,609013.55,5,OVERLAP,1.5,0.00170451731017163,28.63709067503629,31.787851971621862,1.0703435232327858,1.0735866469626285,-26.64840591202422,False,-0.0002542212701008612,14.185650767310706,-40.73523232785758,0.5559322033897828,14,3,key_level_break,1.0677105919884193,SL,2023-02-16 15:00:00+00:00,-16.305919884194164,-993.0526154688678,60,False
2023-02-22 15:00:00+00:00,3,EUR_USD,SHORT,1.0624799999999999,1.0645631980714851,1.060428405785544,1.0589340096425734,1.0566924154281176,471929.24,5,OVERLAP,1.5,0.0014943961429706128,21.553157633735402,37.994891268360696,1.0656969425868077,1.069082616244396,-13.951101874376537,False,-7.184727828939358e-05,53.16072374896007,-30.269425868076905,0.719135802469089,15,2,key_level_break,1.0624799999999999,TP1+SL,2023-02-23 06:00:00+00:00,8.20637685782355,387.28291936662555,900,True
2023-03-06 14:00:00+00:00,3,EUR_USD,LONG,1.0670600000000001,1.0652137316323866,1.069082138436174,1.0705568973936233,1.0727690358297972,534589.09,5,OVERLAP,1.5,0.001474758957449294,27.482012107783856,67.65159931950834,1.062961450215349,1.0626669716307964,22.660552654369948,False,0.00015889675141196494,78.74981818991257,39.085497846509384,0.6094420600858418,14,0,key_level_break,1.0670600000000001,TP1+SL,2023-03-06 19:00:00+00:00,8.088553744695304,432.4052585792755,300,True
2023-03-20 11:00:00+00:00,3,EUR_USD,LONG,1.0708700000000002,1.06808476438533,1.0737423735106768,1.075783955851128,1.0788463293618047,355919.25,4,LONDON,1.5,0.002041582340451173,22.12453207944362,66.357503948183,1.065565170242843,1.0644375111067124,34.117566632423376,False,0.0001285277087543906,93.04203823191528,51.14829757157047,0.5450000000000172,11,0,key_level_break,1.0788463293618047,TP3,2023-03-21 13:00:00+00:00,47.09797617082633,1676.3076355238381,1560,True
2023-04-06 14:00:00+00:00,3,EUR_USD,LONG,1.0925,1.0899764082661216,1.0946082752016346,1.0961404586693912,1.0984387338710262,399463.21,4,OVERLAP,1.5,0.0015321834677565489,21.671183678094316,55.89116426668211,1.0910994864993615,1.0871536027105257,20.321227608484094,False,0.00028211498967935656,46.44361740471621,12.105135006383883,0.8471337579617682,14,3,key_level_break,1.0899764082661216,SL,2023-04-07 12:00:00+00:00,-25.235917338783942,-1008.0820547445292,1320,False
2023-04-11 13:00:00+00:00,3,EUR_USD,LONG,1.0923300000000002,1.090840703069228,1.0940938907923163,1.0953964846538604,1.0973503754461764,670115.68,5,OVERLAP,1.5,0.0013025938615440827,54.38754415420212,64.65175550103939,1.089285395198046,1.0884180014511462,8.59068610284286,False,0.0005081845185262788,60.86992746339248,28.54604801954208,0.5654761904761519,13,1,key_level_break,1.090840703069228,SL,2023-04-11 15:00:00+00:00,-14.892969307722659,-998.00122548637,120,False
