time,instrument,granularity,side,price,position_size,equity,drawdown
2025-02-17 17:45:00+00:00,EUR_USD,M5,BUY,1.04814,2500.0,100000.0,0.0
2025-02-18 00:55:00+00:00,EUR_USD,M5,FLAT,1.04752,0.0,99998.52,2.5e-05
2025-02-18 10:25:00+00:00,EUR_USD,M5,BUY,1.04605,2499.96,99998.52,2.5e-05
2025-02-18 13:20:00+00:00,EUR_USD,M5,FLAT,1.04513,0.0,99996.32,4.7e-05
2025-02-19 00:30:00+00:00,EUR_USD,M5,BUY,1.04477,2499.91,99996.32,4.7e-05
2025-02-19 06:10:00+00:00,EUR_USD,M5,FLAT,1.04598,0.0,99999.22,1.8e-05
2025-02-19 06:15:00+00:00,EUR_USD,M5,BUY,1.0459,2499.98,99999.22,1.8e-05
2025-02-19 06:25:00+00:00,EUR_USD,M5,FLAT,1.04608,0.0,99999.65,1.4e-05
2025-02-19 06:35:00+00:00,EUR_USD,M5,BUY,1.04582,2499.99,99999.65,1.4e-05
2025-02-19 09:40:00+00:00,EUR_USD,M5,FLAT,1.04348,0.0,99994.05,7e-05
2025-02-19 09:45:00+00:00,EUR_USD,M5,BUY,1.04368,2499.85,99994.05,7e-05
2025-02-19 10:00:00+00:00,EUR_USD,M5,FLAT,1.04268,0.0,99991.66,9.4e-05
2025-02-19 22:00:00+00:00,EUR_USD,M5,BUY,1.04248,2499.79,99991.66,9.4e-05
2025-02-20 08:05:00+00:00,EUR_USD,M5,FLAT,1.04392,0.0,99995.11,5.9e-05
2025-02-20 08:15:00+00:00,EUR_USD,M5,BUY,1.04382,2499.88,99995.11,5.9e-05
2025-02-20 13:35:00+00:00,EUR_USD,M5,FLAT,1.04527,0.0,99998.58,2.5e-05
2025-02-20 13:40:00+00:00,EUR_USD,M5,BUY,1.04478,2499.96,99998.58,2.5e-05
2025-02-20 17:30:00+00:00,EUR_USD,M5,FLAT,1.04867,0.0,100007.88,4e-06
2025-02-20 17:45:00+00:00,EUR_USD,M5,BUY,1.04898,2500.2,100007.88,4e-06
2025-02-20 23:10:00+00:00,EUR_USD,M5,FLAT,1.05045,0.0,100011.39,0.0
2025-02-20 23:15:00+00:00,EUR_USD,M5,BUY,1.05032,2500.28,100011.39,0.0
2025-02-21 00:30:00+00:00,EUR_USD,M5,FLAT,1.04933,0.0,100009.03,2.6e-05
2025-02-21 00:45:00+00:00,EUR_USD,M5,BUY,1.04912,2500.23,100009.03,2.6e-05
2025-02-21 00:50:00+00:00,EUR_USD,M5,FLAT,1.04895,0.0,100008.62,3e-05
2025-02-21 01:10:00+00:00,EUR_USD,M5,BUY,1.04904,2500.22,100008.62,3e-05
2025-02-21 01:50:00+00:00,EUR_USD,M5,FLAT,1.04882,0.0,100008.1,3.5e-05
2025-02-21 05:30:00+00:00,EUR_USD,M5,BUY,1.04964,2500.2,100008.1,3.5e-05
2025-02-21 05:40:00+00:00,EUR_USD,M5,FLAT,1.04945,0.0,100007.65,4e-05
2025-02-21 05:55:00+00:00,EUR_USD,M5,BUY,1.0493,2500.19,100007.65,4e-05
2025-02-21 06:00:00+00:00,EUR_USD,M5,FLAT,1.0492,0.0,100007.41,4.2e-05
2025-02-21 06:10:00+00:00,EUR_USD,M5,BUY,1.04932,2500.19,100007.41,4.2e-05
2025-02-21 06:25:00+00:00,EUR_USD,M5,FLAT,1.04902,0.0,100006.69,4.9e-05
2025-02-21 06:30:00+00:00,EUR_USD,M5,BUY,1.04922,2500.17,100006.69,4.9e-05
2025-02-21 08:15:00+00:00,EUR_USD,M5,FLAT,1.04747,0.0,100002.52,9.1e-05
2025-02-23 22:35:00+00:00,EUR_USD,M5,BUY,1.04712,2500.06,100002.52,9.1e-05
2025-02-23 23:25:00+00:00,EUR_USD,M5,FLAT,1.048,0.0,100004.62,7e-05
2025-02-23 23:45:00+00:00,EUR_USD,M5,BUY,1.04778,2500.12,100004.62,7e-05
2025-02-24 00:55:00+00:00,EUR_USD,M5,FLAT,1.05044,0.0,100010.97,7e-06
2025-02-24 01:25:00+00:00,EUR_USD,M5,BUY,1.05081,2500.27,100010.97,7e-06
2025-02-24 01:40:00+00:00,EUR_USD,M5,FLAT,1.05168,0.0,100013.04,0.0
2025-02-24 02:10:00+00:00,EUR_USD,M5,BUY,1.05197,2500.33,100013.04,0.0
2025-02-24 02:30:00+00:00,EUR_USD,M5,FLAT,1.05221,0.0,100013.61,0.0
2025-02-24 02:45:00+00:00,EUR_USD,M5,BUY,1.05248,2500.34,100013.61,0.0
2025-02-24 08:05:00+00:00,EUR_USD,M5,FLAT,1.04856,0.0,100004.28,0.0001
2025-02-24 18:20:00+00:00,EUR_USD,M5,BUY,1.04841,2500.11,100004.28,0.0001
2025-02-24 22:40:00+00:00,EUR_USD,M5,FLAT,1.04685,0.0,100000.56,0.000137
2025-02-24 22:45:00+00:00,EUR_USD,M5,BUY,1.04678,2500.01,100000.56,0.000137
2025-02-24 22:55:00+00:00,EUR_USD,M5,FLAT,1.04693,0.0,100000.92,0.000133
2025-02-25 04:10:00+00:00,EUR_USD,M5,BUY,1.04752,2500.02,100000.92,0.000133
2025-02-25 06:20:00+00:00,EUR_USD,M5,FLAT,1.04792,0.0,100001.88,0.000124
2025-02-25 06:25:00+00:00,EUR_USD,M5,BUY,1.04784,2500.05,100001.88,0.000124
2025-02-25 09:55:00+00:00,EUR_USD,M5,FLAT,1.04732,0.0,100000.64,0.000136
2025-02-25 12:25:00+00:00,EUR_USD,M5,BUY,1.04964,2500.02,100000.64,0.000136
2025-02-25 18:15:00+00:00,EUR_USD,M5,FLAT,1.05046,0.0,100002.6,0.000116
2025-02-25 18:25:00+00:00,EUR_USD,M5,BUY,1.05037,2500.07,100002.6,0.000116
2025-02-25 18:40:00+00:00,EUR_USD,M5,FLAT,1.05148,0.0,100005.24,9e-05
2025-02-25 18:45:00+00:00,EUR_USD,M5,BUY,1.05117,2500.13,100005.24,9e-05
2025-02-25 20:25:00+00:00,EUR_USD,M5,FLAT,1.05166,0.0,100006.41,7.8e-05
2025-02-25 20:30:00+00:00,EUR_USD,M5,BUY,1.05128,2500.16,100006.41,7.8e-05
2025-02-25 23:20:00+00:00,EUR_USD,M5,FLAT,1.05202,0.0,100008.17,6.1e-05
2025-02-25 23:50:00+00:00,EUR_USD,M5,BUY,1.052,2500.2,100008.17,6.1e-05
2025-02-26 00:00:00+00:00,EUR_USD,M5,FLAT,1.05218,0.0,100008.6,5.7e-05
2025-02-26 00:15:00+00:00,EUR_USD,M5,BUY,1.0524,2500.21,100008.6,5.7e-05
2025-02-26 02:15:00+00:00,EUR_USD,M5,FLAT,1.05125,0.0,100005.86,8.4e-05
2025-02-26 02:45:00+00:00,EUR_USD,M5,BUY,1.05074,2500.15,100005.86,8.4e-05
2025-02-26 02:50:00+00:00,EUR_USD,M5,FLAT,1.0505,0.0,100005.29,9e-05
2025-02-26 02:55:00+00:00,EUR_USD,M5,BUY,1.05065,2500.13,100005.29,9e-05
2025-02-26 03:50:00+00:00,EUR_USD,M5,FLAT,1.0504,0.0,100004.7,9.6e-05
2025-02-26 11:05:00+00:00,EUR_USD,M5,BUY,1.04984,2500.12,100004.7,9.6e-05
2025-02-26 12:35:00+00:00,EUR_USD,M5,FLAT,1.04916,0.0,100003.08,0.000112
2025-02-26 17:05:00+00:00,EUR_USD,M5,BUY,1.05174,2500.08,100003.08,0.000112
2025-02-26 17:25:00+00:00,EUR_USD,M5,FLAT,1.05232,0.0,100004.46,9.8e-05
