time,strategy,instrument,granularity,side,price,position_size,equity,drawdown,pnl
2024-01-29 20:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08298,1500.0,100000.0,0.0,0.0
2024-01-29 20:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0836207142857144,0.0,99999.11,0.0,-0.89
2024-01-29 20:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08368,1999.98,99999.11,0.0,0.0
2024-01-30 06:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.08141345533315,999.99,100001.2,0.0,2.09
2024-01-30 08:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.08197,0.0,100002.78,0.0,1.58
2024-01-30 11:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08436,1500.04,100002.78,0.0,0.0
2024-01-30 14:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0853607142857142,0.0,100001.4,0.0,-1.38
2024-01-31 01:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.08314,2000.03,100001.4,0.0,0.0
2024-01-31 02:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.0826514285714286,0.0,100000.5,0.0,-0.9
2024-01-31 02:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.08222,2000.01,100000.5,0.0,0.0
2024-01-31 02:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.0816521428571428,0.0,99999.45,0.0,-1.05
2024-01-31 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08544,1499.99,99999.45,0.0,0.0
2024-01-31 14:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0864910714285714,0.0,99997.99,0.0,-1.45
2024-01-31 14:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0869,1999.96,99997.99,0.0,0.0
2024-01-31 14:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.088145,0.0,99995.7,0.0,-2.29
2024-01-31 14:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.088,1499.94,99995.7,0.0,0.0
2024-01-31 17:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.08436457617425,749.97,99998.21,0.0,2.51
2024-01-31 19:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.08214528242167,224.99,100001.03,0.0,2.82
2024-01-31 19:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_SHORT,1.0829108181359557,0.0,100002.09,0.0,1.05
2024-01-31 20:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.08028,1500.03,100002.09,0.0,0.0
2024-02-01 08:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.0783,0.0,99999.34,0.0,-2.75
2024-02-01 12:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08146,1499.99,99999.34,0.0,0.0
2024-02-01 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0825603571428573,0.0,99997.81,0.0,-1.53
2024-02-01 16:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08493,1499.97,99997.81,0.0,0.0
2024-02-01 16:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0865992857142857,0.0,99995.5,0.0,-2.31
2024-02-01 16:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08644,1499.93,99995.5,0.0,0.0
2024-02-02 04:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.08732,0.0,99994.29,0.0,-1.21
2024-02-02 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.0828,1999.89,99994.29,0.0,0.0
2024-02-02 13:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.0812528571428572,0.0,99991.43,0.0,-2.86
2024-02-02 13:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.08072,1499.87,99991.43,0.0,0.0
2024-02-02 15:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.078995,0.0,99989.04,0.0,-2.39
2024-02-02 15:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07846,1499.84,99989.04,0.0,0.0
2024-02-05 03:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.07761,0.0,99987.85,0.0,-1.18
2024-02-05 09:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07536,1499.82,99987.85,0.0,0.0
2024-02-05 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.0743217857142857,0.0,99986.41,0.0,-1.45
2024-02-06 05:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0754,1999.73,99986.41,0.0,0.0
2024-02-06 07:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0758585714285713,0.0,99985.55,0.0,-0.85
2024-02-06 07:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07605,1999.71,99985.55,0.0,0.0
2024-02-06 08:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.0747917057253,999.86,99986.72,0.0,1.17
2024-02-06 09:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07426156352697,299.96,99987.89,0.0,1.16
2024-02-06 09:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_SHORT,1.0743189285714287,0.0,99988.37,0.0,0.48
2024-02-07 07:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07707,1499.83,99988.37,0.0,0.0
2024-02-07 08:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07622896254131,749.91,99988.95,0.0,0.59
2024-02-07 09:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07582092193794,224.97,99989.56,0.0,0.61
2024-02-07 09:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_SHORT,1.0761878862236542,0.0,99989.75,0.0,0.18
2024-02-07 13:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07822,1499.85,99989.75,0.0,0.0
2024-02-07 13:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07681405736903,749.92,99990.72,0.0,0.98
2024-02-07 15:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07621101459756,224.98,99991.7,0.0,0.98
2024-02-07 15:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP3_SHORT,1.0760100003404,0.0,99992.16,0.0,0.46
2024-02-08 03:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07849,1499.88,99992.16,0.0,0.0
2024-02-08 05:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07793896511687,749.94,99992.55,0.0,0.38
2024-02-08 06:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.07849,0.0,99992.55,0.0,0.0
2024-02-08 12:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07573,1499.89,99992.55,0.0,0.0
2024-02-08 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.0748546428571428,0.0,99991.33,0.0,-1.22
2024-02-08 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.0745,1499.87,99991.33,0.0,0.0
2024-02-08 15:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_LONG,1.07677318386088,749.93,99992.91,0.0,1.59
2024-02-08 18:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_LONG,1.07822336985236,224.98,99994.73,0.0,1.82
2024-02-08 18:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_LONG,1.0776939285714286,0.0,99995.4,0.0,0.67
2024-02-09 07:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07812,1499.93,99995.4,0.0,0.0
2024-02-09 08:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07750665978648,749.97,99995.83,0.0,0.43
2024-02-09 08:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.07812,0.0,99995.83,0.0,0.0
2024-02-09 14:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07944,1999.92,99995.83,0.0,0.0
2024-02-09 14:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.0775020171144,999.96,99997.62,0.0,1.8
2024-02-11 23:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.07944,0.0,99997.62,0.0,0.0
2024-02-13 07:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07754,1499.96,99997.62,0.0,0.0
2024-02-13 07:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07674064806836,749.98,99998.18,0.0,0.56
2024-02-13 08:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07625488840677,224.99,99998.81,0.0,0.63
2024-02-13 09:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_SHORT,1.0761157142857143,0.0,99999.1,0.0,0.3
2024-02-13 13:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0794,1999.98,99999.1,0.0,0.0
2024-02-13 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07732121587391,999.99,100001.03,0.0,1.93
2024-02-13 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07613400916941,300.0,100003.15,0.0,2.12
2024-02-13 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP3_SHORT,1.07573827360124,0.0,100004.16,0.0,1.02
2024-02-13 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07176,2000.08,100004.16,0.0,0.0
2024-02-14 01:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.071,0.0,100002.75,0.0,-1.42
2024-02-14 06:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07185,2000.05,100002.75,0.0,0.0
2024-02-14 07:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07111411571797,1000.03,100003.43,0.0,0.69
2024-02-14 07:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_SHORT,1.07071324039216,300.01,100004.18,0.0,0.74
2024-02-14 07:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TRAIL_SL_SHORT,1.070958597535017,0.0,100004.42,0.0,0.25
2024-02-14 16:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07338,2000.09,100004.42,0.0,0.0
2024-02-15 04:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.07262,0.0,100005.84,0.0,1.42
2024-02-15 07:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0739,2000.12,100005.84,0.0,0.0
2024-02-15 08:45:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_SHORT,1.07299635775292,1000.06,100006.68,0.0,0.84
2024-02-15 11:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0739,0.0,100006.68,0.0,0.0
2024-02-15 12:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0744,2000.13,100006.68,0.0,0.0
2024-02-15 13:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0750428571428572,0.0,100005.49,0.0,-1.2
2024-02-15 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0771,2000.11,100005.49,0.0,0.0
2024-02-15 14:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0780010714285715,0.0,100003.81,0.0,-1.67
2024-02-15 14:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.0777,2000.08,100003.81,0.0,0.0
2024-02-16 02:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.07635,0.0,100006.32,0.0,2.51
2024-02-16 13:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07412,2000.13,100006.32,0.0,0.0
2024-02-16 15:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_LONG,1.07648992253703,1000.06,100008.52,0.0,2.21
2024-02-16 15:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_LONG,1.07734913649352,300.02,100010.63,0.0,2.1
2024-02-16 15:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP3_LONG,1.07763554114568,0.0,100011.61,0.0,0.98
2024-02-16 19:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07848,1500.17,100011.61,0.0,0.0
2024-02-19 07:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.07868,0.0,100011.33,0.0,-0.28
2024-02-19 15:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07628,1500.17,100011.33,0.0,0.0
2024-02-19 17:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_LONG,1.07755563000225,750.08,100012.22,0.0,0.89
2024-02-20 02:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_LONG,1.07628,0.0,100012.22,0.0,0.0
2024-02-20 09:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07894,2000.24,100012.22,0.0,0.0
2024-02-20 09:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0797028571428573,0.0,100010.81,0.0,-1.41
2024-02-20 09:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.07956,1500.16,100010.81,0.0,0.0
2024-02-20 10:30:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SL_EXIT_SHORT,1.0803892857142858,0.0,100009.65,0.0,-1.15
2024-02-20 14:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,SELL_SHORT,1.08302,1500.14,100009.65,0.0,0.0
2024-02-21 02:15:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TIME_EXIT,1.08158,0.0,100011.65,0.0,1.99
2024-02-21 09:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,BUY,1.07928,1500.17,100011.65,0.0,0.0
2024-02-21 13:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP1_LONG,1.08040809786398,750.09,100012.43,0.0,0.78
2024-02-21 14:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP2_LONG,1.08122408751214,225.03,100013.38,0.0,0.95
2024-02-21 14:00:00+00:00,S2_Session_VWAP_Reversal,EUR_USD,M15,TP3_LONG,1.08149608406152,0.0,100013.84,0.0,0.46
