timestamp,open,high,low,close,volume
2024-09-30 14:00:00+00:00,191.554,191.642,191.268,191.313,5748.84
2024-09-30 14:15:00+00:00,191.316,191.39,190.994,191.078,5445.96
2024-09-30 14:30:00+00:00,191.077,191.364,191.034,191.346,4832.07
2024-09-30 14:45:00+00:00,191.35,191.887,191.332,191.841,8261.26
2024-09-30 15:00:00+00:00,191.838,192.163,191.754,192.051,6450.8
2024-09-30 15:15:00+00:00,192.048,192.081,191.913,192.015,4428.96
2024-09-30 15:30:00+00:00,192.016,192.059,191.947,192.03,4009.11
2024-09-30 15:45:00+00:00,192.027,192.066,191.858,191.93,3570.39
2024-09-30 16:00:00+00:00,191.93,192.019,191.866,191.897,3360.9
2024-09-30 16:15:00+00:00,191.895,191.97,191.76,191.82,4230.75
2024-09-30 16:30:00+00:00,191.819,191.858,191.715,191.826,3034.23
2024-09-30 16:45:00+00:00,191.825,191.893,191.768,191.794,2947.86
2024-09-30 17:00:00+00:00,191.796,191.827,191.586,191.632,4148.04
2024-09-30 17:15:00+00:00,191.632,191.705,191.554,191.588,2866.3
2024-09-30 17:30:00+00:00,191.589,191.713,191.569,191.674,1984.2
2024-09-30 17:45:00+00:00,191.678,191.776,191.56,191.68,3603.21
2024-09-30 18:00:00+00:00,191.685,191.994,191.683,191.945,5899.94
2024-09-30 18:15:00+00:00,191.938,192.213,191.902,192.146,6670.5
2024-09-30 18:30:00+00:00,192.145,192.265,192.054,192.155,4909.71
2024-09-30 18:45:00+00:00,192.163,192.266,192.127,192.174,4064.67
2024-09-30 19:00:00+00:00,192.174,192.177,192.061,192.122,4387.02
2024-09-30 19:15:00+00:00,192.129,192.246,192.106,192.168,2707.29
2024-09-30 19:30:00+00:00,192.162,192.31,192.143,192.213,3172.83
2024-09-30 19:45:00+00:00,192.216,192.307,192.142,192.181,3857.41
2024-09-30 20:00:00+00:00,192.18,192.189,192.027,192.034,4156.86
2024-09-30 20:15:00+00:00,192.036,192.121,192.028,192.084,1988.46
2024-09-30 20:30:00+00:00,192.085,192.2,192.072,192.186,1770.3
2024-09-30 20:45:00+00:00,192.188,192.205,192.072,192.072,2586.39
2024-09-30 21:00:00+00:00,192.038,192.038,191.859,191.91,148.8
2024-09-30 21:15:00+00:00,191.911,191.987,191.831,191.964,456.25
2024-09-30 21:30:00+00:00,191.95,192.024,191.923,191.966,397.8
2024-09-30 21:45:00+00:00,191.957,192.025,191.957,192.001,560.64
2024-09-30 22:00:00+00:00,192.0,192.179,191.967,192.066,590.62
2024-09-30 22:15:00+00:00,192.066,192.156,192.041,192.081,541.93
2024-09-30 22:30:00+00:00,192.082,192.143,192.041,192.096,575.7
2024-09-30 22:45:00+00:00,192.094,192.121,192.036,192.068,491.67
2024-09-30 23:00:00+00:00,192.067,192.082,191.852,191.963,1390.65
2024-09-30 23:15:00+00:00,191.962,192.042,191.878,191.878,911.28
2024-09-30 23:30:00+00:00,191.877,192.097,191.867,192.002,1256.22
2024-09-30 23:45:00+00:00,192.001,192.247,191.94,192.246,1310.1
2024-10-01 00:00:00+00:00,192.243,192.437,192.197,192.421,3576.33
2024-10-01 00:15:00+00:00,192.425,192.581,192.359,192.534,2769.33
2024-10-01 00:30:00+00:00,192.536,192.612,192.446,192.573,2330.93
2024-10-01 00:45:00+00:00,192.573,192.749,192.514,192.547,4936.18
2024-10-01 01:00:00+00:00,192.547,192.765,192.425,192.708,3010.9
2024-10-01 01:15:00+00:00,192.709,192.71,192.536,192.606,2215.14
2024-10-01 01:30:00+00:00,192.603,192.684,192.523,192.6,2530.23
2024-10-01 01:45:00+00:00,192.601,192.635,192.348,192.418,2868.03
2024-10-01 02:00:00+00:00,192.418,192.418,192.273,192.343,1662.54
2024-10-01 02:15:00+00:00,192.348,192.565,192.324,192.551,1954.86
2024-10-01 02:30:00+00:00,192.558,192.724,192.506,192.652,2087.42
2024-10-01 02:45:00+00:00,192.653,192.727,192.552,192.667,1847.04
2024-10-01 03:00:00+00:00,192.673,192.862,192.609,192.852,1845.87
2024-10-01 03:15:00+00:00,192.855,192.912,192.766,192.841,1567.82
2024-10-01 03:30:00+00:00,192.838,192.975,192.797,192.945,2222.93
2024-10-01 03:45:00+00:00,192.946,193.035,192.876,192.901,1697.49
2024-10-01 04:00:00+00:00,192.899,193.081,192.803,193.015,1810.41
2024-10-01 04:15:00+00:00,193.018,193.124,193.006,193.123,1205.43
2024-10-01 04:30:00+00:00,193.12,193.147,193.014,193.098,1536.21
2024-10-01 04:45:00+00:00,193.096,193.151,192.996,193.04,1320.9
2024-10-01 05:00:00+00:00,193.039,193.216,193.017,193.079,1723.22
2024-10-01 05:15:00+00:00,193.08,193.196,193.049,193.144,1214.16
2024-10-01 05:30:00+00:00,193.144,193.236,193.038,193.061,1621.14
2024-10-01 05:45:00+00:00,193.058,193.058,192.881,192.917,2398.35
2024-10-01 06:00:00+00:00,192.933,193.082,192.754,193.04,3651.61
2024-10-01 06:15:00+00:00,193.037,193.166,193.022,193.159,2561.22
2024-10-01 06:30:00+00:00,193.151,193.273,193.105,193.221,2719.05
2024-10-01 06:45:00+00:00,193.217,193.353,192.934,192.936,3575.83
2024-10-01 07:00:00+00:00,192.933,193.004,192.12,192.124,6879.97
2024-10-01 07:15:00+00:00,192.125,192.324,192.054,192.143,5458.19
2024-10-01 07:30:00+00:00,192.143,192.312,191.999,192.304,4587.87
2024-10-01 07:45:00+00:00,192.301,192.364,192.181,192.3,4585.14
2024-10-01 08:00:00+00:00,192.299,192.342,191.623,191.748,4928.22
2024-10-01 08:15:00+00:00,191.746,191.877,191.648,191.704,4582.32
2024-10-01 08:30:00+00:00,191.7,191.99,191.682,191.86,4428.52
2024-10-01 08:45:00+00:00,191.858,191.862,191.567,191.715,4736.32
2024-10-01 09:00:00+00:00,191.713,191.739,191.504,191.707,4376.02
2024-10-01 09:15:00+00:00,191.705,191.782,191.541,191.754,2914.43
2024-10-01 09:30:00+00:00,191.755,191.785,191.543,191.568,3083.2
2024-10-01 09:45:00+00:00,191.564,191.636,191.449,191.524,3437.86
2024-10-01 10:00:00+00:00,191.525,191.572,191.319,191.373,3179.91
2024-10-01 10:15:00+00:00,191.377,191.449,191.31,191.383,2776.92
2024-10-01 10:30:00+00:00,191.385,191.538,191.32,191.471,2092.71
2024-10-01 10:45:00+00:00,191.472,191.567,191.408,191.504,2347.2
2024-10-01 11:00:00+00:00,191.503,191.647,191.487,191.535,3726.24
2024-10-01 11:15:00+00:00,191.54,191.585,191.316,191.39,3100.14
2024-10-01 11:30:00+00:00,191.389,191.448,191.317,191.406,2504.53
2024-10-01 11:45:00+00:00,191.41,191.495,191.236,191.48,4105.17
2024-10-01 12:00:00+00:00,191.482,191.668,191.471,191.587,3505.53
