timestamp,open,high,low,close,volume
2024-09-30 14:00:00+00:00,191.554,191.887,190.994,191.841,24288.13
2024-09-30 15:00:00+00:00,191.838,192.163,191.754,191.93,18459.26
2024-09-30 16:00:00+00:00,191.93,192.019,191.715,191.794,13573.74
2024-09-30 17:00:00+00:00,191.796,191.827,191.554,191.68,12601.75
2024-09-30 18:00:00+00:00,191.685,192.266,191.683,192.174,21544.82
2024-09-30 19:00:00+00:00,192.174,192.31,192.061,192.181,14124.55
2024-09-30 20:00:00+00:00,192.18,192.205,192.027,192.072,10502.01
2024-09-30 21:00:00+00:00,192.038,192.038,191.831,192.001,1563.49
2024-09-30 22:00:00+00:00,192.0,192.179,191.967,192.068,2199.92
2024-09-30 23:00:00+00:00,192.067,192.247,191.852,192.246,4868.25
2024-10-01 00:00:00+00:00,192.243,192.749,192.197,192.547,13612.77
2024-10-01 01:00:00+00:00,192.547,192.765,192.348,192.418,10624.3
2024-10-01 02:00:00+00:00,192.418,192.727,192.273,192.667,7551.86
2024-10-01 03:00:00+00:00,192.673,193.035,192.609,192.901,7334.11
2024-10-01 04:00:00+00:00,192.899,193.151,192.803,193.04,5872.95
2024-10-01 05:00:00+00:00,193.039,193.236,192.881,192.917,6956.87
2024-10-01 06:00:00+00:00,192.933,193.353,192.754,192.936,12507.71
2024-10-01 07:00:00+00:00,192.933,193.004,191.999,192.3,21511.17
2024-10-01 08:00:00+00:00,192.299,192.342,191.567,191.715,18675.38
2024-10-01 09:00:00+00:00,191.713,191.785,191.449,191.524,13811.51
2024-10-01 10:00:00+00:00,191.525,191.572,191.31,191.504,10396.74
2024-10-01 11:00:00+00:00,191.503,191.647,191.236,191.48,13436.08
2024-10-01 12:00:00+00:00,191.482,191.906,191.453,191.83,14170.66
2024-10-01 13:00:00+00:00,191.828,191.975,190.405,190.933,25393.93
2024-10-01 14:00:00+00:00,190.85,191.23,190.238,190.821,33475.28
2024-10-01 15:00:00+00:00,190.821,191.042,190.445,190.782,19152.9
2024-10-01 16:00:00+00:00,190.78,190.804,189.976,190.375,18253.84
