timestamp,strategy_id,pair,signal_direction,entry_price,sl_price,tp1_price,tp2_price,tp3_price,lot_size,confluence_score,session,spread_at_entry,atr_at_entry,adx_at_entry,rsi_at_entry,ema_50_value,ema_200_value,vwap_deviation,news_within_60min,macd_hist_at_entry,stoch_k_at_entry,distance_from_ema50_pips,candle_body_ratio,hour_of_day,day_of_week,entry_pattern,exit_price,exit_reason,exit_time,pnl_pips,pnl_dollars,hold_time_minutes,win
2025-01-01 22:45:00+00:00,21,GBP_JPY,SHORT,196.698,196.93339232739748,196.46075687582447,196.46075687582447,196.46075687582447,3773.4,4,NY,2.5,0.13612156208777207,23.747577561149875,46.35469169842237,196.74949634967433,197.03653235053633,5.77369750142509,False,-0.03285971495936651,47.60619411210214,-1.6496349674326893,0.4512195121952319,22,2,ema_ribbon_bounce_short,196.93339232739748,SL,2025-01-01 23:30:00+00:00,-23.539232739747717,-888.2294082016404,45,False
2025-01-02 02:45:00+00:00,21,GBP_JPY,LONG,197.158,196.72951180852377,197.43417008986285,197.43417008986285,197.43417008986285,2052.21,4,ASIAN,2.5,0.15558504493142103,18.46113477695402,54.331507273393335,196.9256771167506,197.04823058095832,35.85820460141065,False,-0.005636415136579281,20.820937103831934,19.732288324939873,0.023809523809636593,2,3,ema_ribbon_bounce_long,196.72951180852377,SL,2025-01-02 06:15:00+00:00,-42.84881914762195,-879.3477514294125,210,False
2025-01-03 17:15:00+00:00,21,GBP_JPY,SHORT,194.946,195.31086556833165,194.647463881901,194.647463881901,194.647463881901,2385.96,4,NY,2.5,0.16676805904950837,28.425768847826156,45.53225796886115,195.05157518792083,195.53604074729088,-8.723629216453332,False,-0.011684167597805814,17.555523138330045,-7.057518792083783,0.2180451127819115,17,4,ema_ribbon_bounce_short,195.31086556833165,SL,2025-01-03 19:30:00+00:00,-36.486556833165196,-870.5546514165883,135,False
2025-01-07 11:30:00+00:00,21,GBP_JPY,SHORT,197.763,197.6116143485162,197.45216829580318,197.45216829580318,197.45216829580318,5693.06,3,LONDON,2.5,0.16991585209841958,25.376385164241505,45.16435283604509,197.793530785398,196.91952501328487,-4.227653740218784,False,-0.004659302903528895,19.840817145694967,-0.15307853979891206,0.6666666666665932,11,1,ema_ribbon_bounce_short,197.6116143485162,SL,2025-01-07 11:45:00+00:00,15.138565148379255,861.8475970363202,15,True
2025-01-07 12:30:00+00:00,21,GBP_JPY,SHORT,197.724,197.6347625321894,197.42296711517164,197.42296711517164,197.42296711517164,9754.5,3,LONDON,2.5,0.1650164424141757,20.75497193898055,44.387596381517106,197.7954064790083,196.95430893610865,-7.674623044528062,False,-0.024260018626987682,29.645722579528833,-4.240647900832073,0.5,12,1,ema_ribbon_bounce_short,197.6347625321894,SL,2025-01-07 12:45:00+00:00,8.923746781059094,870.4668797584094,15,True
2025-01-07 22:45:00+00:00,21,GBP_JPY,SHORT,197.105,197.45911638779643,196.90876632989847,196.90876632989847,196.90876632989847,2482.72,3,NY,2.5,0.11561683505076539,21.996191831303705,46.639157924254505,197.31735084197484,197.059925053036,-37.92810364352306,False,0.03465503857059021,40.88669950738782,-17.735084197485662,0.20512820512852278,22,1,ema_ribbon_bounce_short,197.45911638779643,SL,2025-01-08 02:45:00+00:00,-35.411638779643795,-879.1718383099724,240,False
2025-01-14 02:30:00+00:00,21,GBP_JPY,LONG,192.301,191.69365352678923,192.7722333684108,192.7722333684108,192.7722333684108,1433.09,3,ASIAN,2.5,0.253116684205406,32.971997388292934,53.628843851801726,191.9662622171727,192.50737068989315,89.84156191229431,False,-0.04373735783774099,42.63768115941937,29.973778282729313,0.1999999999999158,2,1,ema_ribbon_bounce_long,192.7722333684108,TP3,2025-01-14 08:15:00+00:00,47.123665664371984,675.3245402695485,345,True
2025-01-14 10:30:00+00:00,21,GBP_JPY,LONG,192.475,191.94450606133017,192.88314695897478,192.88314695897478,192.88314695897478,1653.43,3,LONDON,2.5,0.21857347948738273,12.072337054590289,51.994817578545465,192.28774379782197,192.4781933561358,-6.491985159868818,False,-0.015582749534050769,30.83554142377447,15.825620217802339,0.004830917874419351,10,1,ema_ribbon_bounce_long,191.94450606133017,SL,2025-01-14 13:00:00+00:00,-53.04939386698208,-877.1345930148419,150,False
2025-01-14 16:45:00+00:00,21,GBP_JPY,LONG,192.489,191.93573662860257,192.96757175203004,192.96757175203004,192.96757175203004,1569.53,2,OVERLAP,2.5,0.2537858760150176,27.476735462571195,54.41803722925792,192.2637404317779,192.42151832589929,20.56363351984487,False,0.06654015707273134,36.079046889493256,19.625956822210355,0.2477477477477691,16,1,ema_ribbon_bounce_long,192.96757175203004,TP3,2025-01-14 19:15:00+00:00,47.857480117055516,751.1375076812215,150,True
2025-01-14 20:15:00+00:00,21,GBP_JPY,LONG,192.764,192.13975649416003,193.0907793694489,193.0907793694489,193.0907793694489,1403.09,3,NY,2.5,0.18088968472444894,23.593224433224776,55.784202529177506,192.4634680153887,192.46112360188116,39.45143089346459,False,-0.015999708738570623,21.66419302811269,26.553198461130023,0.9772727272730454,20,1,ema_ribbon_bounce_long,192.488,TIME,2025-01-15 04:15:00+00:00,-27.600000000001046,-387.25284000001466,480,False
2025-01-15 10:15:00+00:00,21,GBP_JPY,SHORT,191.687,192.4693754643649,191.27454200917805,191.27454200917805,191.27454200917805,1114.55,4,LONDON,2.5,0.22072899541097432,36.644793610237116,42.14288161987465,192.11812467589323,192.38665324494698,5.163931254918452,False,0.026544630570085992,72.27038650190933,-40.21246758932193,0.22302158273388503,10,2,ema_ribbon_bounce_short,191.27454200917805,TP3,2025-01-15 16:30:00+00:00,41.24616914903118,459.70917825052703,375,True
2025-01-17 17:45:00+00:00,21,GBP_JPY,LONG,190.243,189.89211105519036,190.60047839232956,190.60047839232956,190.60047839232956,2498.22,2,NY,2.5,0.19623919616478855,31.299354471635553,53.243681073590025,190.0481617027217,190.42805963695398,19.77046840975163,False,-0.008755397591300978,14.238154186796416,15.983829727829857,0.23684210526303323,17,4,ema_ribbon_bounce_long,189.89211105519036,SL,2025-01-20 01:15:00+00:00,-35.08889448096397,-876.5977797023381,3330,False
2025-01-20 10:15:00+00:00,21,GBP_JPY,LONG,190.505,190.083756339767,190.80829777905967,190.80829777905967,190.80829777905967,2060.17,4,LONDON,2.5,0.1661488895298335,25.056077077832946,53.72938550372955,190.33142327614127,190.35802414048325,8.161350118240307,False,-0.030295630381263303,74.81273408239879,14.457672385873366,0.8249999999998816,10,0,ema_ribbon_bounce_long,190.80829777905967,TP3,2025-01-20 11:00:00+00:00,30.32992512574998,624.8480184631634,45,True
