timestamp,strategy_id,pair,signal_direction,entry_price,sl_price,tp1_price,tp2_price,tp3_price,lot_size,confluence_score,session,spread_at_entry,atr_at_entry,adx_at_entry,rsi_at_entry,ema_50_value,ema_200_value,vwap_deviation,news_within_60min,macd_hist_at_entry,stoch_k_at_entry,distance_from_ema50_pips,candle_body_ratio,hour_of_day,day_of_week,entry_pattern,exit_price,exit_reason,exit_time,pnl_pips,pnl_dollars,hold_time_minutes,win,dow,rsi_bin,adx_bin,ema_dist_abs,dist_bin,br_bin,year
2021-01-21 07:00:00+00:00,9,GBP_AUD,LONG,1.76562,1.7595353998812198,1.77033,1.77534,1.77534,164349.34,5,ASIAN,2.0,0.0023449943298326824,40.60738668364845,54.71283874198519,1.7646314850323348,1.762674756339636,3.14406856070093,False,0.0003998219317052601,83.20047093306697,6.8851496766519915,0.45454545454547657,7,3,london_breakout_long,1.76562,TP1+SL,2021-01-21 10:00:00+00:00,23.549999999999958,387.04269569999934,180,True,Thursday,50-60,40+,6.8851496766519915,0-20,0.3-0.5,2021
2021-01-28 09:00:00+00:00,9,GBP_AUD,LONG,1.79457,1.787180967519482,1.80124,1.80815,1.80815,135859.52,5,LONDON,2.0,0.002890354921335216,62.31726416976188,71.63089869315311,1.7824774770502982,1.7726385270574154,1.2936813722408402,False,0.00030375888362081226,74.55744799918635,118.52522949701738,0.2705167173252442,9,3,london_breakout_long,1.787180967519482,SL,2021-01-28 16:00:00+00:00,-73.8903248051792,-1003.870406067574,420,False,Thursday,70+,40+,118.52522949701738,100+,<0.3,2021
2021-02-01 08:00:00+00:00,9,GBP_AUD,LONG,1.79946,1.79346,1.80341,1.8075999999999999,1.8075999999999999,165638.62,5,LONDON,2.0,0.002984572973378604,38.07767982267642,66.21586489552894,1.7909986281242591,1.7797520018139965,10.966666666665237,False,0.00017645880863012987,62.40078282631283,82.21371875740901,0.8520971302427928,8,0,london_breakout_long,1.79346,SL,2021-02-01 13:00:00+00:00,-60.00000000000005,-993.8317200000008,300,False,Monday,60-70,30-40,82.21371875740901,60-100,0.7+,2021
2021-02-03 09:00:00+00:00,9,GBP_AUD,SHORT,1.79011,1.795800158143565,1.7851700000000001,1.7799900000000002,1.7799900000000002,172911.43,4,LONDON,2.0,0.0023564873104669364,34.67279695700911,31.49911438969231,1.794556457887665,1.7856604665580293,-22.836225325499893,False,-0.0007017897649328013,27.23587372159746,-42.06457887664827,0.7010752688171588,9,2,london_breakout_short,1.7799900000000002,TP3,2021-02-04 08:00:00+00:00,75.3000058527066,1302.023169099987,1380,True,Wednesday,30-40,30-40,42.06457887664827,40-60,0.7+,2021
2021-02-05 08:00:00+00:00,9,GBP_AUD,SHORT,1.79725,1.8022,1.79367,1.7898500000000002,1.7898500000000002,201396.69,4,LONDON,2.0,0.002159755522589681,35.21778683206554,53.50497681002011,1.7946445758810627,1.7883483877169224,-6.866666666665022,False,-0.00041336484309550557,18.385605592602886,28.454241189372897,0.6556603773585227,8,4,london_breakout_short,1.7898500000000002,TP3,2021-02-05 17:00:00+00:00,54.900003674339274,1105.6679020999768,540,True,Friday,50-60,30-40,28.454241189372897,20-40,0.5-0.7,2021
2021-02-08 09:00:00+00:00,9,GBP_AUD,SHORT,1.78775,1.79031,1.78569,1.78339,1.78339,393738.4,5,LONDON,2.0,0.001806857390748989,52.602651198998544,36.592580471612756,1.7920297364866882,1.7889615762492126,-6.986082979019148,False,2.1715000643349365e-05,31.792587297175185,-40.39736486688206,0.19999999999994617,9,0,london_breakout_short,1.78339,TP3,2021-02-08 14:00:00+00:00,32.10000110733356,1263.9003075999744,300,True,Monday,30-40,40+,40.39736486688206,40-60,<0.3,2021
2021-02-10 09:00:00+00:00,9,GBP_AUD,LONG,1.79182,1.7868763602999511,1.7946,1.79762,1.79762,206448.97,5,LONDON,2.0,0.00211992331716098,29.56342638553696,69.19004736082438,1.7863203340935339,1.7874210910851274,28.613496695513163,False,0.0004124141310421386,67.41444136462671,52.59665906466093,0.8026819923371483,9,2,london_breakout_long,1.7868763602999511,SL,2021-02-10 13:00:00+00:00,-49.43639700048852,-1020.6093241261945,240,False,Wednesday,60-70,25-30,52.59665906466093,40-60,0.7+,2021
2021-02-12 08:00:00+00:00,9,GBP_AUD,LONG,1.78406,1.78018,1.7861299999999998,1.7884399999999996,1.7884399999999996,260413.2,4,LONDON,2.0,0.0016922590253407774,50.1257701584345,53.809627686896285,1.784442508754193,1.7866817658162848,3.666666666666263,False,0.0004212024096441572,79.72841461213801,-6.225087541931185,0.6703703703702848,8,4,london_breakout_long,1.7884399999999996,TP3,2021-02-12 14:00:00+00:00,32.250001681939395,839.832613799922,360,True,Friday,50-60,40+,6.225087541931185,0-20,0.5-0.7,2021
2021-02-18 08:00:00+00:00,9,GBP_AUD,LONG,1.7888,1.78502,1.79192,1.79528,1.79528,269524.22,4,LONDON,2.0,0.0020461232044195637,45.313944011238775,52.41128844393502,1.7884724177374725,1.787762647467156,-1.3333333333331865,False,8.205686997360168e-05,58.17388618017134,0.875822625274747,0.4477611940298664,8,3,london_breakout_long,1.79528,TP3,2021-02-18 13:00:00+00:00,48.00000240423688,1293.716320800007,300,True,Thursday,50-60,40+,0.875822625274747,0-20,0.3-0.5,2021
2021-02-19 09:00:00+00:00,9,GBP_AUD,SHORT,1.7865199999999999,1.7919101195831437,1.78169,1.77662,1.77662,191412.95,4,LONDON,2.0,0.0023750444165962495,44.74283530909754,24.843748540505473,1.7931409340255662,1.789607311915828,-26.572411033878307,False,-0.0014340186309046783,11.283470338748296,-63.80934025566276,0.5672333848531802,9,4,london_breakout_short,1.77662,TP3,2021-02-22 01:00:00+00:00,73.6500051720623,1409.7564757499704,3840,True,Friday,<30,40+,63.80934025566276,60-100,0.5-0.7,2021
