timestamp,strategy_id,pair,signal_direction,entry_price,sl_price,tp1_price,tp2_price,tp3_price,lot_size,confluence_score,session,spread_at_entry,atr_at_entry,adx_at_entry,rsi_at_entry,ema_50_value,ema_200_value,vwap_deviation,news_within_60min,macd_hist_at_entry,stoch_k_at_entry,distance_from_ema50_pips,candle_body_ratio,hour_of_day,day_of_week,exit_price,exit_reason,exit_time,pnl_pips,pnl_dollars,hold_time_minutes,win
2021-01-29 16:30:00+00:00,1,EUR_NZD,SHORT,1.6869599999999998,1.688765351487862,1.6844439455364137,1.6825732425606894,1.6797671880971032,553908.76,3,OVERLAP,2.5,0.0018707029757241702,32.43866992055753,53.56252913935056,1.6875406785606892,1.6891795688429838,0.7427355111500056,False,0.0005180271614128723,91.03893260450518,-2.9067856068931697,0.5098039215686915,16,4,1.688765351487862,SL,2021-01-29 17:30:00+00:00,-18.053514878622057,-1000.0000040059094,60,False
2021-02-17 11:30:00+00:00,1,EUR_NZD,LONG,1.6798000000000002,1.6783862782378984,1.6812011652863046,1.6823286088105074,1.684019774096812,700279.24,4,LONDON,2.5,0.001127443524202965,24.89461846466009,56.24115209430774,1.6787554794701791,1.6781384211482062,19.503630951920314,False,0.0003105505466959994,91.87109841712078,7.545205298209456,0.5138888888888247,11,2,1.6783862782378984,SL,2021-02-17 12:15:00+00:00,-14.137217621017495,-990.0000011360739,45,False
2021-02-18 11:45:00+00:00,1,EUR_NZD,SHORT,1.67366,1.6749164704358799,1.6724605886923605,1.6714676478206008,1.6699782365129612,780042.23,3,LONDON,2.5,0.0009929408717597066,34.890192018183676,45.88468242022439,1.674897266059154,1.6764936835889814,-1.8389774771510048,False,-1.5850491742707513e-05,65.2559799207739,-9.472660591538506,0.5657894736840491,11,3,1.6749164704358799,SL,2021-02-18 13:30:00+00:00,-12.56470435879953,-980.1000007328704,105,False
2021-03-11 11:45:00+00:00,1,EUR_NZD,SHORT,1.6544899999999998,1.6557616077866262,1.6531551766401213,1.652071961066869,1.6504471377069907,763048.96,2,LONDON,2.5,0.001083215573252315,28.84837582186231,50.41476531467273,1.6552692449545532,1.658333409074199,4.799431070681148,False,0.00018142619346404442,34.06113537117735,-4.8924495455326955,0.42105263157900885,11,3,1.6557616077866262,SL,2021-03-11 12:00:00+00:00,-12.71607786626383,-970.2989991131635,15,False
2021-03-15 16:30:00+00:00,1,EUR_NZD,SHORT,1.6579099999999998,1.6595273806296562,1.6561378581110318,1.6547630968517197,1.6527009549627516,593920.81,4,OVERLAP,2.5,0.00137476125931209,28.717552113643304,45.859635394203025,1.659081061084612,1.6598813440624498,-2.178378529553715,False,-0.00014052865396823878,17.845326716295194,-8.81061084612167,0.6867469879519361,16,0,1.6579099999999998,TP1+SL,2021-03-15 19:15:00+00:00,8.860709444840076,526.2559730654069,165,True
2021-03-18 09:00:00+00:00,1,EUR_NZD,SHORT,1.65112,1.6527289406820262,1.6492831779539214,1.6478652965898692,1.6457384745437906,600307.13,2,LONDON,2.5,0.0014178813640523483,18.581023646604987,49.4840886955735,1.6524626729644798,1.6555935071662566,0.31123785106723645,False,0.0001623997599208857,42.45787203770593,-10.526729644797506,0.4851485148513872,9,3,1.6527289406820262,SL,2021-03-18 09:45:00+00:00,-16.08940682026327,-965.8585631674672,45,False
2021-03-19 15:15:00+00:00,1,EUR_NZD,LONG,1.6622500000000002,1.6605992719740672,1.6642121840777988,1.6657136401296646,1.6679658242074633,579259.56,4,OVERLAP,2.5,0.0015014560518657888,22.50736128217088,58.28061812657806,1.660826946677058,1.6590455284436194,13.655496234603604,False,0.0002053267273794412,70.71297713671883,11.330533229421125,0.4537815126052913,15,4,1.6605992719740672,SL,2021-03-19 15:45:00+00:00,-16.507280259330237,-956.199989981632,30,False
2021-04-02 16:15:00+00:00,1,EUR_NZD,SHORT,1.6744599999999998,1.6758572528420053,1.6725982414739844,1.6711637357899742,1.6690119772639587,677499.42,2,OVERLAP,2.5,0.0014345056840103052,23.889968432266286,48.41927462421221,1.6750769249633242,1.6770823087140523,0.6168959188057599,False,4.1680933457054865e-05,70.18882865083593,-3.269249633242044,0.6041666666668787,16,4,1.6758572528420053,SL,2021-04-02 17:15:00+00:00,-13.972528420054253,-946.6379900520274,60,False
2021-04-05 13:15:00+00:00,1,EUR_NZD,SHORT,1.6701799999999998,1.6712740478591899,1.6691378564224306,1.668249760704051,1.6669176171264817,856609.33,3,OVERLAP,2.5,0.0008880957183795496,39.6089481173828,55.997132864296304,1.670823858175583,1.6742027232073209,14.66183591694259,False,0.00047904296938835436,81.85529108038259,-3.538581755830883,0.5294117647058567,13,0,1.6712740478591899,SL,2021-04-05 13:45:00+00:00,-10.940478591900948,-937.1716036487614,30,False
2021-04-30 09:45:00+00:00,1,EUR_NZD,SHORT,1.6712099999999999,1.6726085520619587,1.669824343814124,1.6687072396902067,1.6670315835043306,663400.32,2,LONDON,2.5,0.0011171041239173413,15.572469740983477,46.919406943397526,1.6721101175389244,1.672379104316104,-2.957582440192841,False,5.475332706799947e-07,43.88748075720505,-6.101175389243707,0.5192307692307898,9,4,1.6726085520619587,SL,2021-04-30 10:45:00+00:00,-13.985520619588243,-927.7998854401438,60,False
2021-05-12 11:15:00+00:00,1,EUR_NZD,LONG,1.6765400000000001,1.6751385755137573,1.678024273458728,1.6792071224312133,1.6809813958899413,655420.18,2,LONDON,2.5,0.0011828489724853195,22.21616263784669,47.92074172695641,1.6756742199902945,1.6726211966969835,-10.997664847307576,False,-0.0003154541826319352,14.010516092298715,5.757800097054844,0.4712643678160362,11,2,1.6751385755137573,SL,2021-05-12 11:45:00+00:00,-14.01424486242808,-918.521889029669,30,False
2021-05-20 10:00:00+00:00,1,EUR_NZD,LONG,1.6987500000000002,1.6974582340329067,1.70014529790128,1.7012688298354668,1.7029541277367468,703948.47,4,LONDON,2.5,0.0011235319341867,47.76300634667931,58.618371247536494,1.697365501068447,1.6936639021090032,7.059768453314685,False,0.0003750158625057857,48.927232500364646,10.944989315531117,0.3384615384618012,10,3,1.6974582340329067,SL,2021-05-20 12:30:00+00:00,-12.917659670934611,-909.3366761335122,150,False
2021-06-02 15:45:00+00:00,1,EUR_NZD,LONG,1.68619,1.684753688950226,1.6876289331493224,1.6887815552488707,1.6905104883981932,626774.61,3,OVERLAP,2.5,0.0011526220995482929,18.95848953324126,53.9660530336881,1.685277048205621,1.6835201106188176,4.092969053761664,False,0.00016727295864321846,91.16781510192725,6.229517943789897,0.8749999999998699,15,2,1.68619,TP1+SL,2021-06-02 21:00:00+00:00,7.194665746611539,450.94338174128063,315,True
2021-07-12 12:45:00+00:00,1,EUR_NZD,LONG,1.7013600000000002,1.6997884340874434,1.7031746977376703,1.7045778295627838,1.7066825273004542,575701.43,2,LONDON,2.5,0.0014031318251135137,29.586414857089526,46.377663568141614,1.7009993951548168,1.6986803240311448,-14.119638090168696,False,-0.0004124941868601304,39.057073430264275,0.7060484518328636,0.405172413793252,12,0,1.6997884340874434,SL,2021-07-12 13:45:00+00:00,-15.715659125568049,-904.7527431982077,60,False
2021-07-14 16:00:00+00:00,1,EUR_NZD,SHORT,1.6823899999999998,1.6842134241609852,1.6801197275170445,1.678412879195074,1.6758526067121187,491221.53,2,OVERLAP,2.5,0.0017068483219703455,23.737735498752357,55.188067348466866,1.6826984786852826,1.6899718373410926,13.025756257036836,False,0.0003707702863203138,80.05632205155437,-0.18478685282596885,0.4341085271318683,16,2,1.6842134241609852,SL,2021-07-14 19:00:00+00:00,-18.23424160985354,-895.705206198192,180,False
2021-07-16 11:00:00+00:00,1,EUR_NZD,SHORT,1.68265,1.683941736766779,1.6809847896996626,1.6796813161661044,1.677726105865767,686477.45,2,LONDON,2.5,0.001303473533558271,17.61448422480987,47.49268172750885,1.6842082920308943,1.6865584565028244,-0.9612759194577158,False,0.00016406739667197023,46.68396770473057,-12.682920308941803,0.30097087378626336,11,4,1.683941736766779,SL,2021-07-16 11:15:00+00:00,-12.917367667790723,-886.7481617297423,15,False
2021-07-16 16:00:00+00:00,1,EUR_NZD,SHORT,1.68362,1.6853779865668168,1.68136604029955,1.6796700671659168,1.6771261074654669,499367.11,3,OVERLAP,2.5,0.0016959731336333129,14.77584094258445,47.87877747421622,1.6844072508481887,1.686186175457826,-2.1352285125608716,False,-6.685149819379323e-05,38.61920172599639,-4.972508481886351,0.4606741573033652,16,4,1.6853779865668168,SL,2021-07-16 18:15:00+00:00,-17.57986566816916,-877.8806712901852,135,False
2021-07-20 12:30:00+00:00,1,EUR_NZD,LONG,1.7056900000000002,1.7036549079472783,1.7081752761581654,1.7100254602636091,1.7128007364217746,427057.77,2,LONDON,2.5,0.001850184105443633,16.60516616871556,48.72448576329765,1.7046302721298363,1.6974045986180395,-9.869434302836044,False,-0.00035134525903041656,37.87041605355725,7.697278701637167,0.317073170731737,12,1,1.7056900000000002,TP1+SL,2021-07-20 13:30:00+00:00,12.426380790826473,530.6782469701191,60,True
2021-07-22 16:15:00+00:00,1,EUR_NZD,SHORT,1.6913799999999999,1.6933029176504177,1.688931247048747,1.6871054117479116,1.6843666587966588,454730.16,3,OVERLAP,2.5,0.0018258353008353252,17.234138984793727,44.89179853385238,1.693410820515906,1.695912892254132,-15.246744452093175,False,-0.0001890908871441372,23.36358635863425,-17.40820515905961,0.4020618556699332,16,3,1.6871488719686674,TP1+TP2+SL,2021-07-22 19:15:00+00:00,33.52978557519437,1524.7004759373829,180,True
2021-08-05 16:45:00+00:00,1,EUR_NZD,SHORT,1.6764999999999999,1.6778012431697988,1.675016270490604,1.6738337841510067,1.672060054641611,683696.7,2,OVERLAP,2.5,0.001182486339597284,27.127705199363454,50.55638793521815,1.677105688886119,1.6817789101061675,3.2561604794500987,False,0.00010022286912266204,70.97368862075358,-3.1568888611910317,0.6607142857141158,16,3,1.6764999999999999,TP1+SL,2021-08-05 21:30:00+00:00,7.418647546979517,507.2104846332991,285,True
2021-08-11 09:30:00+00:00,1,EUR_NZD,SHORT,1.67268,1.6738146344208762,1.671696096737371,1.6708468278956186,1.6695729246329896,788560.39,3,LONDON,2.5,0.0008492688417526328,15.228284688471096,48.549274109875334,1.673138138899253,1.6752792551074338,-4.4863342071099765,False,-1.710765080324846e-05,33.661684782606706,-1.6813889925293424,0.6153846153845497,9,2,1.671333043500115,TP1+TP2+SL,2021-08-11 12:15:00+00:00,13.112945626058359,1034.0349516933375,165,True
2021-08-18 16:15:00+00:00,1,EUR_NZD,LONG,1.69873,1.696950205929907,1.7010493822102792,1.7027889703504655,1.7053983525607448,508524.06,2,OVERLAP,2.5,0.001739588140186215,24.841545531375314,49.220227883972,1.6971410216213563,1.6910638962934648,-5.217749635861857,False,-0.0005319689706331447,12.27603007975514,12.989783786436782,0.6231884057971294,16,2,1.696950205929907,SL,2021-08-18 18:30:00+00:00,-17.797940700929882,-905.068106487611,135,False
